close,date
1031.4485,2000-01-04
1034.5563,2000-01-05
1076.4622,2000-01-06
1118.0157,2000-01-07
1140.0914,2000-01-10
1093.6201,2000-01-11
1064.8015,2000-01-12
1056.168,2000-01-13
1045.1879,2000-01-14
1064.6202,2000-01-17
1061.5329,2000-01-18
1075.6485,2000-01-19
1099.0132,2000-01-20
1102.7173,2000-01-21
1120.2272,2000-01-24
1118.0503,2000-01-25
1121.177,2000-01-26
1145.917,2000-01-27
1170.3406,2000-01-28
1277.4289,2000-02-14
1288.4122,2000-02-15
1317.2892,2000-02-16
1269.3385,2000-02-17
1295.8817,2000-02-18
1302.0802,2000-02-21
1261.4826,2000-02-22
1225.6197,2000-02-23
1262.454,2000-02-24
1262.3279,2000-02-25
1321.0479,2000-02-28
1321.9963,2000-02-29
1312.6274,2000-03-01
1324.1935,2000-03-02
1340.7276,2000-03-03
1287.0566,2000-03-06
1300.3656,2000-03-07
1326.5844,2000-03-08
1328.1316,2000-03-09
1309.799,2000-03-10
1328.6537,2000-03-13
1301.2633,2000-03-14
1303.2329,2000-03-15
1242.7744,2000-03-16
1287.6452,2000-03-17
1322.6721,2000-03-20
1330.328,2000-03-21
1341.2393,2000-03-22
1364.5908,2000-03-23
1351.6944,2000-03-24
1390.2749,2000-03-27
1400.4471,2000-03-28
1395.9182,2000-03-29
1413.5288,2000-03-30
1401.9173,2000-03-31
1396.6748,2000-04-03
1365.9235,2000-04-04
1376.4213,2000-04-05
1407.1649,2000-04-06
1416.2645,2000-04-07
1423.6488,2000-04-10
1421.448,2000-04-11
1407.14,2000-04-12
1421.3981,2000-04-13
1420.4008,2000-04-14
1389.5241,2000-04-17
1403.3672,2000-04-18
1415.754,2000-04-19
1428.4896,2000-04-20
1423.2453,2000-04-21
1416.3422,2000-04-24
1414.1168,2000-04-25
1413.7952,2000-04-26
1399.4075,2000-04-27
1426.5668,2000-04-28
1427.2607,2000-05-08
1404.8196,2000-05-09
1361.9711,2000-05-10
1339.7016,2000-05-11
1338.2871,2000-05-12
1324.7384,2000-05-15
1342.0417,2000-05-16
1343.1739,2000-05-17
1372.7633,2000-05-18
1390.7254,2000-05-19
1426.7786,2000-05-22
1428.0968,2000-05-23
1446.9909,2000-05-24
1467.0239,2000-05-25
1468.3585,2000-05-26
1483.1758,2000-05-29
1468.1907,2000-05-30
1477.784,2000-05-31
1487.0211,2000-06-01
1495.4098,2000-06-02
1483.7128,2000-06-05
1506.5047,2000-06-06
1511.5913,2000-06-07
1506.4704,2000-06-08
1489.4848,2000-06-09
1497.2607,2000-06-12
1515.2545,2000-06-13
1509.7589,2000-06-14
1518.723,2000-06-15
1510.3264,2000-06-16
1505.3963,2000-06-19
1493.3232,2000-06-20
1510.9558,2000-06-21
1514.5487,2000-06-22
1533.4995,2000-06-23
1544.2293,2000-06-26
1540.4988,2000-06-27
1545.8981,2000-06-28
1539.8019,2000-06-29
1532.5436,2000-06-30
1507.3853,2000-07-03
1518.6398,2000-07-04
1518.4515,2000-07-05
1515.155,2000-07-06
1535.8389,2000-07-07
1547.3085,2000-07-10
1557.9143,2000-07-11
1564.8088,2000-07-12
1570.0995,2000-07-13
1574.4192,2000-07-14
1565.1057,2000-07-17
1576.7458,2000-07-18
1579.3205,2000-07-19
1578.0684,2000-07-20
1581.8615,2000-07-21
1576.7784,2000-07-24
1583.1338,2000-07-25
1596.6859,2000-07-26
1594.2193,2000-07-27
1598.24,2000-07-28
1609.9798,2000-07-31
1614.0206,2000-08-01
1616.4513,2000-08-02
1621.684,2000-08-03
1612.012,2000-08-04
1623.3301,2000-08-07
1633.5898,2000-08-08
1642.1362,2000-08-09
1646.8659,2000-08-10
1643.7381,2000-08-11
1652.3224,2000-08-14
1652.7018,2000-08-15
1656.7266,2000-08-16
1658.3767,2000-08-17
1660.0301,2000-08-18
1670.6903,2000-08-21
1643.5739,2000-08-22
1631.1915,2000-08-23
1642.2819,2000-08-24
1656.6459,2000-08-25
1668.2597,2000-08-28
1672.0808,2000-08-29
1651.7226,2000-08-30
1608.9272,2000-08-31
1595.1486,2000-09-01
1606.659,2000-09-04
1574.7202,2000-09-05
1548.3184,2000-09-06
1566.7492,2000-09-07
1573.6951,2000-09-08
1583.0596,2000-09-11
1591.8899,2000-09-12
1598.7847,2000-09-13
1592.2215,2000-09-14
1592.1673,2000-09-15
1567.851,2000-09-18
1532.9176,2000-09-19
1548.0775,2000-09-20
1536.1255,2000-09-21
1524.548,2000-09-22
1511.3848,2000-09-25
1524.8151,2000-09-26
1544.4916,2000-09-27
1525.3931,2000-09-28
1544.1374,2000-09-29
1551.6936,2000-10-09
1571.794,2000-10-10
1564.8342,2000-10-11
1560.0641,2000-10-12
1553.5137,2000-10-13
1541.4927,2000-10-16
1546.9927,2000-10-17
1562.3133,2000-10-18
1552.4958,2000-10-19
1579.5876,2000-10-20
1589.1309,2000-10-23
1588.7613,2000-10-24
1599.6475,2000-10-25
1590.2251,2000-10-26
1592.2437,2000-10-27
1595.4015,2000-10-30
1585.4057,2000-10-31
1599.8396,2000-11-01
1605.0339,2000-11-02
1602.9889,2000-11-03
1611.4635,2000-11-06
1615.5647,2000-11-07
1625.9522,2000-11-08
1644.2925,2000-11-09
1655.9778,2000-11-10
1675.3573,2000-11-13
1686.0034,2000-11-14
1683.3546,2000-11-15
1697.3148,2000-11-16
1693.2759,2000-11-17
1700.3399,2000-11-20
1696.4543,2000-11-21
1714.8198,2000-11-22
1720.81,2000-11-23
1666.6754,2000-11-24
1666.5523,2000-11-27
1690.6849,2000-11-28
1682.0652,2000-11-29
1684.707,2000-11-30
1693.3492,2000-12-01
1703.8111,2000-12-04
1701.4413,2000-12-05
1685.611,2000-12-06
1679.8573,2000-12-07
1683.0805,2000-12-08
1661.4629,2000-12-11
1675.7511,2000-12-12
1676.8271,2000-12-13
1672.8689,2000-12-14
1665.915,2000-12-15
1672.304,2000-12-18
1674.694,2000-12-19
1694.2425,2000-12-20
1696.9187,2000-12-21
1693.2997,2000-12-22
1692.0291,2000-12-25
1700.7545,2000-12-26
1687.0067,2000-12-27
1688.9962,2000-12-28
1708.0606,2000-12-29
1733.1949,2001-01-02
1749.6976,2001-01-03
1743.3399,2001-01-04
1750.871,2001-01-05
1729.8906,2001-01-08
1726.6138,2001-01-09
1746.2762,2001-01-10
1740.4998,2001-01-11
1726.5478,2001-01-12
1670.4728,2001-01-15
1679.8894,2001-01-16
1669.8134,2001-01-17
1675.335,2001-01-18
1696.1982,2001-01-19
1650.3044,2001-02-05
1636.0295,2001-02-06
1622.2904,2001-02-07
1580.2358,2001-02-08
1602.7266,2001-02-09
1603.8316,2001-02-12
1607.2409,2001-02-13
1608.3963,2001-02-14
1593.4866,2001-02-15
1591.0749,2001-02-16
1607.8269,2001-02-19
1598.1068,2001-02-20
1560.1562,2001-02-21
1556.0967,2001-02-22
1575.646,2001-02-23
1594.8686,2001-02-26
1602.4111,2001-02-27
1599.5513,2001-02-28
1605.9123,2001-03-01
1620.1922,2001-03-02
1617.386,2001-03-05
1619.4881,2001-03-06
1623.3119,2001-03-07
1631.4999,2001-03-08
1642.9471,2001-03-09
1646.2726,2001-03-12
1633.7447,2001-03-13
1647.9295,2001-03-14
1652.8031,2001-03-15
1652.9792,2001-03-16
1666.5066,2001-03-19
1676.8953,2001-03-20
1690.2221,2001-03-21
1702.9941,2001-03-22
1678.4887,2001-03-23
1706.0996,2001-03-26
1722.6862,2001-03-27
1724.2328,2001-03-28
1720.8098,2001-03-29
1729.561,2001-03-30
1737.6736,2001-04-02
1733.9134,2001-04-03
1706.5939,2001-04-04
1724.7072,2001-04-05
1721.9231,2001-04-06
1729.2774,2001-04-09
1737.3051,2001-04-10
1738.73,2001-04-11
1744.2738,2001-04-12
1752.2601,2001-04-13
1770.9856,2001-04-16
1776.1009,2001-04-17
1769.5124,2001-04-18
1768.0552,2001-04-19
1751.0648,2001-04-20
1745.779,2001-04-23
1755.4993,2001-04-24
1722.2486,2001-04-25
1711.7919,2001-04-26
1719.9892,2001-04-27
1723.2696,2001-04-30
