count,date
11267,2011-10-14
5331,2011-10-15
7146,2011-10-16
6646,2011-10-17
10342,2011-10-18
7702,2011-10-19
19239,2011-10-20
7470,2011-10-21
5022,2011-10-22
2208,2011-10-23
4020,2011-10-24
4050,2011-10-25
4018,2011-10-26
4238,2011-10-27
1060,2011-10-28
2677,2011-10-29
500,2011-10-30
7572,2011-10-31
5444,2011-11-01
7743,2011-11-02
6844,2011-11-03
12182,2011-11-04
7090,2011-11-05
6796,2011-11-06
6567,2011-11-07
9622,2011-11-08
6902,2011-11-09
8992,2011-11-10
11299,2011-11-11
3036,2011-11-12
4519,2011-11-13
11642,2011-11-14
7927,2011-11-15
10186,2011-11-16
9651,2011-11-17
4278,2011-11-18
9985,2011-11-19
5483,2011-11-20
8967,2011-11-21
9121,2011-11-22
14620,2011-11-23
9946,2011-11-24
7882,2011-11-25
2998,2011-11-26
7846,2011-11-27
8430,2011-11-28
12687,2011-11-29
9012,2011-11-30
10903,2011-12-01
9676,2011-12-02
5450,2011-12-03
9883,2011-12-04
7674,2011-12-05
8867,2011-12-06
8163,2011-12-07
10941,2011-12-08
11696,2011-12-09
6517,2011-12-10
7105,2011-12-11
9766,2011-12-12
10236,2011-12-13
10265,2011-12-14
11264,2011-12-15
8540,2011-12-16
4854,2011-12-17
1393,2011-12-18
10753,2011-12-19
7199,2011-12-20
11481,2011-12-21
15435,2011-12-22
11043,2011-12-23
1054,2011-12-24
1499,2011-12-25
2658,2011-12-26
4645,2011-12-27
6735,2011-12-28
5451,2011-12-29
6423,2011-12-30
2940,2011-12-31
1993,2012-01-02
5091,2012-01-03
7971,2012-01-04
10493,2012-01-05
12201,2012-01-06
2091,2012-01-07
7258,2012-01-08
11087,2012-01-09
10288,2012-01-10
9468,2012-01-11
8298,2012-01-12
8753,2012-01-13
6414,2012-01-14
3524,2012-01-15
1548,2012-01-16
6292,2012-01-17
2919,2012-01-18
5232,2012-01-19
6774,2012-01-20
3802,2012-01-21
3360,2012-01-22
3752,2012-01-23
1612,2012-01-24
6071,2012-01-25
2017,2012-01-26
718,2012-01-27
501,2012-01-28
582,2012-01-29
12976,2012-01-30
5946,2012-01-31
8689,2012-02-01
12087,2012-02-02
7090,2012-02-03
3336,2012-02-04
5111,2012-02-05
5943,2012-02-06
4809,2012-02-07
6098,2012-02-08
7338,2012-02-09
8062,2012-02-10
4970,2012-02-11
5366,2012-02-12
8379,2012-02-13
5745,2012-02-14
6723,2012-02-15
5773,2012-02-16
9047,2012-02-17
1736,2012-02-18
2393,2012-02-19
3949,2012-02-20
5383,2012-02-21
8915,2012-02-22
8334,2012-02-23
7419,2012-02-24
9762,2012-02-25
1088,2012-02-26
21872,2012-02-27
9454,2012-02-28
13394,2012-02-29
11668,2012-03-01
8483,2012-03-02
2282,2012-03-03
5851,2012-03-04
7611,2012-03-05
6972,2012-03-06
8645,2012-03-07
11224,2012-03-08
9234,2012-03-09
5738,2012-03-10
5106,2012-03-11
14612,2012-03-12
7420,2012-03-13
18818,2012-03-14
17691,2012-03-15
8591,2012-03-16
3721,2012-03-17
3449,2012-03-18
8029,2012-03-19
9144,2012-03-20
8440,2012-03-21
7352,2012-03-22
4283,2012-03-23
1257,2012-03-24
2664,2012-03-25
7829,2012-03-26
6567,2012-03-27
5425,2012-03-28
6047,2012-03-29
13275,2012-03-30
5288,2012-03-31
19867,2012-04-01
5012,2012-04-02
9834,2012-04-03
23041,2012-04-04
8274,2012-04-05
8804,2012-04-06
4485,2012-04-07
4790,2012-04-08
4297,2012-04-09
8081,2012-04-10
12885,2012-04-11
15885,2012-04-12
15099,2012-04-13
7585,2012-04-14
7855,2012-04-15
9397,2012-04-16
10344,2012-04-17
10434,2012-04-18
11701,2012-04-19
8416,2012-04-20
3958,2012-04-21
7174,2012-04-22
13177,2012-04-23
10900,2012-04-24
6983,2012-04-25
11272,2012-04-26
9393,2012-04-27
3828,2012-04-28
2901,2012-04-29
8140,2012-04-30
4668,2012-05-01
7887,2012-05-02
10695,2012-05-03
8714,2012-05-04
14703,2012-05-05
5042,2012-05-06
11947,2012-05-07
7582,2012-05-08
7766,2012-05-09
13976,2012-05-10
10441,2012-05-11
2668,2012-05-12
1576,2012-05-13
14081,2012-05-14
11018,2012-05-15
8478,2012-05-16
17192,2012-05-17
14842,2012-05-18
3590,2012-05-19
3451,2012-05-20
9319,2012-05-21
9210,2012-05-22
7124,2012-05-23
6630,2012-05-24
4068,2012-05-25
3994,2012-05-26
