 ,BETA,BOOK-TO-PRICE,EARNINGS YIELD,GROWTH,LEVERAGE,LIQUIDITY,MOMENTUM,NON-LINEAR SIZE,RESIDUAL VOLATILITY,SIZE
13-02-2015,0.1751,-0.0678,-0.0248,0.0404,0.0661,-0.0679,-0.206,0.0913,0.2151,-0.0917
12-02-2015,0.0561,0.0818,0.0342,-0.0217,-0.0104,-0.1448,-0.0545,-0.0663,0.0869,-0.0887
11-02-2015,0.0271,-0.0318,-0.0344,0.0406,-0.0909,0.0248,-0.0308,-0.0023,0.3093,0.0082
10-02-2015,0.3369,0.0017,0.1087,0.0287,-0.04,0.2041,-0.0718,-0.0678,0.3244,0.2473
09-02-2015,0.0741,-0.0213,-0.043,0.0769,-0.0392,-0.1796,0.281,-0.0819,-0.3771,0.0567
06-02-2015,-0.4247,-0.1084,-0.0102,-0.0451,-0.1098,-0.0755,0.1824,-0.0505,-0.506,0.0033
05-02-2015,-0.2175,-0.0801,0.0665,-0.0204,-0.1537,0.0755,-0.1983,0.1332,0.1242,-0.2261
04-02-2015,-0.0709,-0.0045,-0.0173,-0.1035,0.0526,-0.1199,-0.1425,-0.0713,0.3834,0.0428
03-02-2015,0.2682,0.0727,0.1279,0.0707,-0.11,-0.0121,-0.266,-0.0409,0.5112,0.0552
02-02-2015,-0.1946,-0.4507,0.1375,0.0817,-0.1217,0.0077,-0.0707,0.1474,-0.1169,-0.4004
30-01-2015,-0.0914,-0.1667,0.0114,0.0574,0.1068,-0.0916,0.1321,0.0632,-0.5928,-0.2399
29-01-2015,0.0224,0.0488,-0.0801,-0.0948,0.0357,-0.155,-0.0154,-0.0767,-0.0436,-0.0711
28-01-2015,-0.2192,0.0573,-0.1274,-0.0483,0.0233,-0.1011,-0.1449,0.0504,-0.1149,-0.3518
27-01-2015,0.0608,-0.0338,-0.0463,-0.0795,0.0259,-0.1255,0.1631,0.112,0.0875,-0.2692
26-01-2015,0.3862,0.0171,-0.1038,-0.0196,-0.0542,-0.0047,-0.0529,0.1886,0.003,-0.039
23-01-2015,-0.0207,-0.1505,0.0572,-0.2027,0.2025,-0.0353,0.0467,-0.1044,-0.4015,0.0134
22-01-2015,0.3769,-0.2282,-0.1529,0.0191,0.0308,-0.0403,-0.1719,0.1334,0.1024,-0.2164
21-01-2015,0.7878,0.0344,-0.0037,-0.018,0.0468,-0.1489,0.0259,-0.1041,0.115,0.1527
20-01-2015,0.1663,-0.0579,0.2079,0.142,-0.1216,-0.1403,-0.3178,0.1586,0.8779,-0.0916
19-01-2015,-0.6566,-0.7653,-0.0673,0.3493,-0.2329,-0.4082,-0.2634,0.1047,0.3007,-0.9993
16-01-2015,0.0613,-0.012,0.004,0.0867,-0.0878,-0.0346,-0.2128,-0.0544,0.5435,0.1873
15-01-2015,0.291,0.309,0.0681,-0.0607,0.1842,0.007,0.0131,-0.216,-0.0696,0.3242
14-01-2015,-0.0828,-0.0093,0.1105,0.028,-0.0163,0.0248,0.1683,0.0885,0.0481,-0.3577
13-01-2015,0.2951,-0.0308,0.1546,0.1193,-0.0956,-0.0957,-0.288,0.1122,0.4121,-0.3033
12-01-2015,-0.2808,-0.4874,0.088,0.201,-0.298,-0.0825,-0.0619,-0.0413,0.0762,0.3689
09-01-2015,-0.2931,-0.0242,0.1177,0.183,-0.0461,-0.1997,0.0232,0.0184,0.1713,-0.0894
08-01-2015,-0.1647,-0.2745,-0.0203,0.0748,-0.2362,-0.1274,-0.2116,0.0364,0.2635,-0.2538
07-01-2015,0.0224,0.0251,-0.106,-0.1778,0.1633,-0.0257,0.1898,-0.0266,-0.0898,0.1761
06-01-2015,0.1561,-0.1902,0.0901,0.127,-0.4347,-0.0627,-0.1277,-0.0907,0.3856,-0.1767
05-01-2015,0.0317,0.3171,0.4517,-0.064,0.0776,0.1159,-0.4762,-0.4336,-0.564,0.8206
31-12-2014,0.2569,0.1309,0.1879,0.1416,0.0967,-0.1445,0.0399,-0.3634,0.1381,0.2807
30-12-2014,-0.2722,0.025,0.156,0.0041,0.0957,-0.1864,0.1293,-0.2055,-0.306,-0.0094
29-12-2014,-0.2503,0.3854,0.1946,-0.0089,0.331,0.0236,-0.1987,-0.1296,-0.3645,0.4344
26-12-2014,0.1875,0.1572,0.023,-0.0764,0.1246,0.0145,0.2623,-0.0812,-0.1513,0.4051
25-12-2014,0.4653,0.5316,0.0798,-0.0983,0.113,-0.0531,0.1031,-0.111,0.3166,0.3094
24-12-2014,0.2693,-0.4407,-0.1084,0.108,0.0036,-0.1618,-0.2765,0.3032,0.1935,-0.9983
23-12-2014,-0.2741,-0.545,0.2445,0.0793,-0.0961,-0.2005,-0.1642,-0.1269,-0.5071,-0.4358
22-12-2014,-0.9387,0.6898,0.126,0,0.1914,0.1743,-0.0835,-0.2001,-0.9131,1.1275
19-12-2014,-0.1491,1.0051,-0.1476,-0.2657,0.1497,0.0095,0.1204,-0.3701,-0.0367,0.9114
18-12-2014,0.0208,0.0074,0.1661,-0.0735,0.0972,0.0119,-0.0972,-0.1219,0.0356,0.375
17-12-2014,-0.2178,0.3597,0.1162,-0.0733,0.0136,0.0195,0.0429,-0.056,0.2135,0.1982
16-12-2014,0.251,0.5262,-0.2074,-0.0454,0.0749,0.0524,0.093,-0.0421,0.1609,0.2161
15-12-2014,0.2785,0.1536,-0.0468,-0.0054,-0.1487,-0.1512,0.3522,0.157,0.0587,-0.1608
12-12-2014,0.1858,-0.1701,-0.0661,-0.0822,0.0194,-0.2366,0.113,0.0576,0.0006,-0.1997
11-12-2014,0.2424,0.2071,-0.0213,-0.0939,0.2716,-0.1088,0.0685,0.3052,0.1295,-0.4159
10-12-2014,0.233,0.1094,0.3342,0.0758,-0.0077,0.1343,-0.2318,-0.0545,0.3841,0.18
09-12-2014,-0.8894,0.0203,0.0896,-0.0539,0.2535,0.2559,0.0793,0.0373,-0.8938,0.3342
08-12-2014,-0.0204,0.7011,0.1283,-0.1708,0.33,0.7202,-0.0228,-0.2002,-0.1016,0.8381
05-12-2014,-0.1713,-0.1476,-0.4073,-0.0894,-0.0801,0.0343,0.5324,-0.148,-0.3052,1.0052
04-12-2014,0.2473,0.3999,-0.0036,-0.0182,-0.0479,0.1209,-0.0501,-0.0837,0.2074,0.484
03-12-2014,0.2067,0.0098,-0.1563,0.049,0.0016,0.181,-0.3964,-0.0549,-0.2322,0.477
02-12-2014,0.1501,0.1236,0.0823,-0.0669,-0.1015,0.1075,-0.0173,-0.1152,-0.0063,0.2049
01-12-2014,-0.1533,0.1012,0.0493,-0.0914,0.1826,-0.0175,-0.1902,-0.1742,-0.2987,0.3947
28-11-2014,0.0003,0.4471,0.1522,-0.0596,0.0232,-0.1115,0.0007,-0.177,0.1667,0.0793
27-11-2014,0.228,0.1468,-0.043,-0.0353,-0.0455,-0.0494,-0.158,-0.0269,0.1625,-0.2026
26-11-2014,0.0671,0.011,-0.0003,-0.0274,-0.0282,-0.1495,0.0416,-0.0327,0.1642,-0.0675
25-11-2014,0.2992,0.0166,-0.0811,-0.0044,-0.0899,-0.1069,-0.0918,-0.029,0.0492,0.1957
24-11-2014,0.2528,0.3058,0.1734,-0.0292,0.1352,0.1144,-0.1135,-0.0672,0.1195,0.2484
21-11-2014,0.2359,0.1755,0.0251,-0.0514,-0.0744,-0.0245,0.0138,-0.0896,0.1006,0.0098
20-11-2014,-0.0144,-0.0149,0.0048,-0.12,0.0807,0.013,0.0361,0.0385,0.0314,-0.1406
19-11-2014,0.1463,-0.0654,-0.1034,0.0512,0.0024,-0.0818,-0.0414,0.0203,0.1201,-0.2463
18-11-2014,0.0902,-0.1485,-0.1026,-0.0025,0.1056,0.0731,0.0415,0.0205,0.066,-0.2458
17-11-2014,0.3029,-0.1193,0.0439,0.0879,-0.2536,-0.025,0.0855,0.0306,0.2388,-0.3232
14-11-2014,-0.0349,-0.129,0.0396,-0.0233,-0.0108,-0.0709,-0.0179,-0.1666,-0.0066,0.1951
13-11-2014,-0.3468,-0.0277,0.0197,-0.1139,0.1329,-0.0661,-0.0311,0.1344,-0.4659,0.2922
12-11-2014,0.3231,-0.0599,0.0588,-0.1908,-0.0006,0.1302,0.0143,0.123,-0.106,-0.0031
11-11-2014,-0.5688,-0.1313,0.064,-0.0781,0.0688,-0.0903,0.0251,-0.1841,-0.6035,0.6239
10-11-2014,0.0615,0.3642,0.1797,-0.1538,0.1016,0.1293,-0.1945,-0.0487,-0.0405,0.2597
07-11-2014,-0.1544,-0.171,0.0037,0.0373,-0.0103,-0.1585,0.0982,-0.0276,-0.0478,0.1051
06-11-2014,0.1914,-0.0826,0.044,0.0259,-0.1036,-0.051,-0.0065,0.0333,0.0709,-0.165
05-11-2014,-0.0741,-0.116,-0.1049,-0.0126,-0.0615,0.0153,-0.0113,0.0298,-0.0479,-0.1379
04-11-2014,-0.1533,0.5891,-0.2654,-0.047,0.1526,-0.1072,-0.1318,-0.1837,-0.0385,0.0886
03-11-2014,0.1201,0.375,-0.1101,0.0179,0.1345,0.0079,-0.0266,-0.0344,0.0782,-0.3182
31-10-2014,-0.0349,0.0927,0.1249,-0.1109,-0.0034,-0.1069,-0.1344,-0.1146,-0.2573,0.1387
30-10-2014,-0.0725,0.2146,-0.0158,-0.1192,0.2697,-0.0982,0.1279,-0.1329,-0.2064,0.1528
29-10-2014,0.1793,0.21,0.0725,-0.1184,0.1668,0.0352,-0.0023,0.0156,0.2508,-0.1327
28-10-2014,0.5345,0.4317,0.0353,-0.089,0.028,-0.0191,0.0291,-0.1269,0.4903,-0.234
27-10-2014,0.2372,0.1004,-0.1638,0.0987,-0.0772,-0.1815,0.126,0.1666,0.0819,-0.278
24-10-2014,0.0381,0.0156,-0.0845,0.0834,-0.044,-0.0668,0.1288,0.023,-0.1269,-0.0601
23-10-2014,-0.2866,-0.2813,0.0393,-0.0439,-0.0496,0.166,0.0472,0.0834,-0.3514,0.2727
22-10-2014,-0.1761,-0.2085,0.0304,-0.0378,0.0064,-0.0051,0.117,-0.0379,-0.2627,0.2074
21-10-2014,-0.1411,-0.3069,0.0315,0.0456,0.0469,-0.2338,0.0773,-0.0207,-0.1297,-0.0272
20-10-2014,0.2472,0.0306,0.0989,-0.0451,0.0358,0.0266,0.0386,0.1489,0.1715,-0.3133
17-10-2014,-0.1194,-0.4246,0.2211,0.0192,-0.0372,0.0253,-0.1047,0.0248,-0.1272,0.3208
16-10-2014,-0.2305,-0.1213,0.0578,0.0595,-0.0642,-0.1794,0.0751,-0.2,-0.3229,0.1222
15-10-2014,-0.0039,0.0319,0.0205,-0.0172,-0.0152,-0.0349,0.1042,-0.0995,-0.3647,0.0255
14-10-2014,-0.2091,0.1437,-0.0294,0.0568,0.0029,0.043,0.1248,-0.1484,-0.0293,-0.1637
13-10-2014,0.0517,0.1974,-0.0244,-0.0987,0.0307,-0.0467,-0.2848,0.016,0.0648,-0.2335
10-10-2014,-0.1791,0.0482,-0.0702,-0.0149,0.1105,0.0544,-0.0874,-0.013,-0.1038,-0.1538
09-10-2014,0.0049,0.1769,-0.1829,0.0323,0.1851,0.0286,-0.0699,0.079,0.0448,0.0226
08-10-2014,-0.0747,-0.0472,-0.0084,-0.093,0.0858,0.1548,-0.0902,0.0672,-0.0719,-0.0614
30-09-2014,-0.0334,-0.035,-0.0957,0.0279,0.0479,-0.1503,0.1354,-0.0311,-0.0493,-0.1096
29-09-2014,0.1911,0.1106,-0.1318,0.0096,0.0272,-0.1208,-0.0525,-0.0079,-0.0847,-0.1926
26-09-2014,-0.0192,0.2182,-0.0663,-0.017,-0.0019,-0.0144,0.025,-0.0479,-0.0737,-0.1863
25-09-2014,-0.0306,0.104,-0.0866,0.0006,-0.0202,-0.0024,0.0666,-0.0376,0.1328,0.0019
24-09-2014,0.3346,0.1725,0.037,-0.089,-0.0116,0.0183,0.0356,-0.0562,-0.0083,0.0111
23-09-2014,0.1982,0.0909,-0.0056,0.063,0.0269,0.04,0.0566,-0.0587,-0.0472,-0.169
22-09-2014,-0.1828,-0.1307,-0.0483,0.0449,-0.0353,-0.0494,-0.002,0.0195,0.0709,-0.2285
19-09-2014,0.1787,0.0526,0.0123,-0.0112,-0.0417,-0.0157,0.0794,-0.0618,0.1994,-0.1299
18-09-2014,0.0591,0.0185,-0.1168,0.0427,-0.0253,-0.0965,0.0807,0.0461,-0.141,-0.1733
17-09-2014,0.1003,0.0574,-0.0494,-0.0391,0.136,-0.0204,-0.1798,-0.0706,-0.2457,-0.1248
16-09-2014,-0.598,0.2548,-0.1585,-0.081,0.0615,-0.2862,0.043,-0.1244,-0.3671,0.315
15-09-2014,0.0808,0.2121,-0.0877,-0.0806,-0.0455,-0.0502,-0.1037,0.0915,-0.0133,-0.4278
12-09-2014,0.0913,0.1269,-0.1502,-0.077,0.0946,-0.0095,-0.0386,-0.0398,-0.157,-0.1607
11-09-2014,-0.0308,-0.1325,0.069,0.0342,0.1174,-0.087,-0.0557,-0.1046,0.0064,-0.2167
10-09-2014,-0.0333,-0.0257,-0.0989,0.0246,0.0182,-0.1307,-0.06,-0.0395,0.0382,-0.3171
09-09-2014,-0.0204,0.1237,-0.1135,-0.0428,0.0543,0.1075,-0.0566,0.0544,-0.0296,-0.2313
05-09-2014,-0.0557,0.0456,0.0288,-0.06,0.0024,0.0119,0.0129,-0.1088,-0.0735,0.1543
04-09-2014,0.0893,0.0276,0.0577,0.0306,-0.02,0.1365,0.0074,-0.0341,-0.0365,-0.2004
03-09-2014,0.0379,0.1032,0.0195,-0.0164,-0.0848,-0.0518,-0.1231,-0.1098,0.1931,0.016
02-09-2014,0.1031,0.1663,-0.0188,0.0012,-0.0198,0.1757,-0.0761,0.0659,0.1669,-0.1984
01-09-2014,0.2598,0.0608,-0.0145,0.0719,-0.0343,0.0226,0.0865,0.037,0.2222,-0.2813
29-08-2014,0.2558,-0.0519,0.0051,0.0515,0.0006,-0.0501,0.0789,-0.0796,-0.1089,0.085
28-08-2014,0.0091,-0.1275,-0.1041,-0.0604,-0.0289,-0.2014,-0.0415,-0.0833,-0.2857,0.1188
27-08-2014,-0.0119,-0.0755,-0.0183,-0.015,0.043,-0.0154,0.008,-0.0634,-0.0721,-0.1069
26-08-2014,-0.3906,-0.0637,0.0246,-0.0185,-0.003,0.0656,0.0647,-0.0713,-0.0055,0.2083
25-08-2014,-0.2727,-0.145,0.1538,-0.0966,0.0488,-0.1852,0.0968,-0.0275,-0.0151,-0.0738
22-08-2014,-0.0149,-0.0721,0.0402,-0.0492,0.0062,-0.1071,-0.021,-0.0453,0.0314,-0.1037
21-08-2014,0.0774,0.0449,-0.1265,0.0706,-0.0517,-0.0465,-0.0593,-0.0869,0.1653,-0.1152
20-08-2014,-0.1955,-0.1102,0.073,-0.0669,0.1001,-0.1381,-0.1009,0.0294,-0.0685,-0.1381
19-08-2014,-0.0377,0.0172,-0.0509,-0.0302,0.0385,-0.0489,-0.1194,-0.0306,0.0628,-0.1271
18-08-2014,0.2261,-0.0178,-0.0897,0.1096,-0.001,-0.0464,-0.1068,-0.0202,0.2042,-0.2274
15-08-2014,0.1503,0.0427,0.0192,0.0264,-0.103,0.0117,-0.0723,-0.0183,-0.0732,-0.0566
14-08-2014,-0.0295,-0.0779,0.0467,-0.0636,-0.0107,-0.1905,0.0569,0.0083,-0.0835,-0.1591
13-08-2014,0.0102,0.0049,-0.0776,0.0125,0.011,-0.0592,-0.2141,-0.013,-0.0238,-0.1175
12-08-2014,0.08,-0.083,-0.1297,0.006,0.0788,0.0738,0.0986,0.1328,0.0064,-0.1876
11-08-2014,0.2174,0.0568,0.0656,-0.0054,0.0633,0.0543,0.0383,0.0572,-0.0016,-0.0166
08-08-2014,-0.0129,-0.1547,0.0166,-0.0268,-0.0339,-0.054,0.1038,0.0492,-0.0065,-0.1563
07-08-2014,-0.0925,-0.0454,-0.1737,0.1424,0.055,-0.1574,0.1479,0.0141,0.1019,-0.0897
06-08-2014,-0.008,0.145,-0.3404,0.0375,0.054,-0.02,0.1618,0.0453,-0.1682,0.0783
05-08-2014,0.2038,0.1752,-0.056,0.0544,-0.054,-0.0308,-0.1243,0.0282,0.2577,-0.2893
04-08-2014,0.1292,0.1753,0.0558,-0.0341,0.0348,0.1149,-0.2742,-0.0261,-0.0492,-0.015
01-08-2014,-0.2178,0.0133,0.0867,0.0411,-0.0189,-0.2706,0.012,-0.2138,-0.0145,0.0762
31-07-2014,0.0548,0.0157,0.0571,0.0121,-0.0138,0.0397,-0.2244,-0.0356,-0.0303,0.0354
30-07-2014,-0.0729,-0.176,-0.217,-0.0245,-0.0227,0.0638,0.1116,0.0676,-0.1171,-0.1649
29-07-2014,0.0733,-0.1011,-0.1202,0.1322,0.0219,0.0707,0.0717,0.1107,0.2031,-0.2126
28-07-2014,0.1882,0.0556,-0.0019,0.0077,-0.035,0.1492,-0.1664,0.053,0.2078,0.0275
25-07-2014,0.1083,0.0411,-0.0559,0.048,-0.021,-0.0031,-0.1302,-0.097,0.0142,0.0531
24-07-2014,-0.1015,-0.0134,0.3454,-0.0884,0.0013,-0.0694,-0.4391,-0.1212,-0.2384,0.3481
23-07-2014,-0.4334,0.0369,0.0004,-0.099,0.0945,0.0584,-0.3272,0.02,-0.2962,0.2813
22-07-2014,0.3431,0.0206,0.0234,0.0268,0.0426,0.056,0.0599,0.0757,0.1055,0.0381
21-07-2014,-0.0275,0.0554,-0.0946,0.1281,0.0332,0.0247,-0.0039,-0.181,0.0226,0.2016
18-07-2014,-0.0046,0.0682,0.1197,-0.0024,0.0513,-0.1312,-0.0179,-0.0368,0.0881,0.0318
17-07-2014,-0.004,-0.0148,0.0785,0.0043,-0.019,-0.1203,0.0139,-0.056,0.0004,-0.1691
16-07-2014,-0.2815,0.1514,0.121,-0.0039,0.1835,-0.1282,-0.1123,-0.1547,-0.1028,0.1223
15-07-2014,-0.1932,-0.0101,-0.0281,-0.0791,0.0089,-0.0874,-0.2839,0.0395,-0.2303,0.1616
14-07-2014,0.3035,-0.0745,0.1607,-0.0145,-0.0367,-0.0158,-0.114,0.0669,-0.1091,0.0026
11-07-2014,0.0398,0.0779,-0.0368,-0.0656,0.0423,0.1614,-0.0451,0.0121,-0.2883,-0.0595
10-07-2014,-0.1554,0.0656,0.1083,-0.1266,0.0351,-0.0019,-0.0995,0.0532,-0.2837,-0.3236
09-07-2014,-0.3336,-0.1106,0.0067,0.0172,0.0327,-0.1741,0.0409,0.0823,-0.1978,-0.0138
08-07-2014,0.1882,-0.0163,0.0617,0.0442,0.0578,0.059,0.1179,-0.0085,0.006,-0.1862
07-07-2014,-0.0686,0.0947,0.1223,-0.0584,-0.0076,0.137,0.0714,0.0188,-0.0818,-0.2169
04-07-2014,-0.0924,-0.0671,0.1505,-0.0162,-0.095,-0.0696,0.0784,-0.0894,0.0399,-0.1286
03-07-2014,0.0703,-0.0646,0.0218,0.0771,0.0833,-0.1043,0.0229,0.0956,0.0003,0.03
02-07-2014,0.2223,0.2159,-0.0269,0.02,0.0214,-0.2091,-0.0423,0.031,0.2058,-0.0831
01-07-2014,0.072,-0.1051,-0.1163,0.0008,0.1401,-0.0058,-0.1639,0.0495,0.0649,-0.1207
30-06-2014,0.2188,0.0377,0.0513,0.0495,0.0286,-0.0818,0.1475,0.0185,0.0976,-0.0967
27-06-2014,0.1232,0.1312,-0.0279,-0.0905,0.0286,-0.0263,0.0773,0.0396,-0.1196,-0.1185
26-06-2014,0.3652,0.0466,0.0875,0.0051,-0.0917,0.0926,0.0208,-0.0002,0.1221,-0.2463
25-06-2014,-0.137,-0.062,0.0633,-0.0125,-0.0395,-0.1,0.0172,-0.065,-0.1135,-0.091
24-06-2014,0.0878,0.0267,-0.0691,0.0135,-0.0288,0.0331,-0.0891,-0.0384,-0.0185,-0.033
23-06-2014,0.271,-0.0353,-0.0458,0.0789,-0.0716,-0.0696,-0.0238,0.0338,0.2852,-0.2987
20-06-2014,0.2952,-0.009,-0.02,0.0321,-0.0223,-0.0443,0.195,-0.0361,0.04,-0.1552
19-06-2014,-0.4916,-0.2054,0.046,-0.0356,-0.0559,-0.2413,0.1322,-0.0574,-0.5065,0.4368
18-06-2014,-0.2506,-0.0795,-0.0857,0.0753,0.0896,0.0634,-0.1203,-0.0008,-0.2877,0.1139
17-06-2014,-0.1829,-0.1163,-0.1143,-0.0325,0.0149,0.0135,0.0096,-0.0962,-0.273,0.0382
16-06-2014,0.0364,0.0013,0.0398,-0.0893,-0.0597,0.0433,0.0881,-0.007,0.0209,0.0088
13-06-2014,0.3353,0.0177,0.0304,0.023,-0.0522,-0.1233,0.0968,0.0183,0.0581,0.0251
12-06-2014,-0.1363,-0.0328,-0.0548,-0.0505,-0.0102,0.0232,-0.055,-0.0201,0.0507,-0.0893
11-06-2014,0.1883,0.0204,-0.0269,0.0432,-0.0689,-0.1157,0.0656,0.0218,0.1754,-0.0645
10-06-2014,0.2292,0.0541,0.0707,0.083,0.0057,0.0835,-0.0118,-0.0868,0.1607,-0.0658
09-06-2014,-0.1203,-0.021,0.029,-0.0344,0.0333,0.0069,-0.1114,-0.1483,-0.1202,0.0361
06-06-2014,-0.0059,-0.0386,-0.0272,0.0632,0.0003,-0.0411,0.1027,-0.1007,0.0681,-0.1092
05-06-2014,0.3567,0.0518,0.0769,0.0819,-0.0149,-0.0192,-0.026,-0.1542,0.2803,-0.0899
04-06-2014,-0.1812,0.0269,-0.0885,-0.033,-0.0466,-0.0008,-0.0124,-0.0168,0.0726,-0.1021
03-06-2014,-0.0059,-0.0045,-0.0182,0.0748,-0.0579,-0.134,-0.0325,-0.0448,0.0907,-0.0729
30-05-2014,0.1313,-0.0241,-0.1696,0.0555,0.0016,-0.0737,-0.0546,-0.126,-0.0765,0.0475
29-05-2014,-0.1892,-0.237,0.0484,-0.0867,0.116,-0.1752,0.0245,-0.0375,-0.2939,0.1917
28-05-2014,0.4084,0.0144,-0.0052,-0.0392,-0.0658,-0.0366,0.019,0.0041,0.1693,0.0627
27-05-2014,-0.1338,-0.1264,0.0278,0.0714,0.1108,0.0025,0.0502,-0.0495,-0.1531,-0.086
26-05-2014,0.3308,-0.0318,0.0282,0.0691,0.0411,-0.0641,0.1116,0.0075,0.4043,-0.1833
23-05-2014,0.3327,0.0318,0.1606,-0.0109,-0.0162,-0.0119,0.0626,0.0033,0.2573,-0.0369
22-05-2014,0.0463,0.0075,-0.034,0.0423,-0.0584,-0.1798,0.159,0.0168,0.3258,-0.0179
21-05-2014,0.2717,0.1261,0.0553,0.0584,-0.0405,-0.0226,-0.0745,-0.0484,0.174,-0.0636
20-05-2014,0.037,0.1037,0.0901,0.0168,-0.0235,0.0172,0.1162,-0.0178,0.2667,-0.2299
19-05-2014,-0.0611,0.0493,-0.099,-0.0033,-0.0772,-0.0309,0.02,0.0235,-0.0336,-0.2339
16-05-2014,-0.0271,0.0494,-0.0249,-0.0587,0.1508,0.0987,-0.1227,-0.1117,-0.1776,0.0183
15-05-2014,-0.4131,-0.1811,0.0346,-0.0055,-0.0352,-0.0388,0.0098,0.0403,-0.3026,0.1115
14-05-2014,0.0351,-0.0095,0.0819,0.0272,0.0664,0.041,0.1038,-0.0646,-0.005,-0.0909
13-05-2014,-0.0134,0.1146,-0.0202,0.0043,-0.0525,0.0751,-0.0001,-0.0846,0.1537,-0.0838
12-05-2014,0.6424,0.2375,-0.0307,-0.0134,0.0539,-0.0384,-0.3715,0.0962,0.2118,0.0021
09-05-2014,-0.1347,-0.0211,-0.1611,0.0175,0.0053,-0.0205,-0.1774,-0.1577,-0.5094,0.1699
08-05-2014,0.1932,0.1731,-0.0673,0.0056,0.0207,-0.0941,-0.2069,-0.0665,0.0226,-0.1231
07-05-2014,-0.4427,-0.146,0.0199,-0.1072,-0.0107,-0.013,-0.1193,0.01,-0.442,0.0952
06-05-2014,0.1738,-0.0285,0.0228,0.0455,0.0252,-0.0308,-0.112,0.0222,0.2768,-0.1761
05-05-2014,0.2107,0.007,-0.0319,0.1021,-0.0416,-0.0452,0.0402,0.0235,0.3459,-0.334
30-04-2014,0.1928,0.0443,-0.1637,0.0942,-0.0705,-0.2521,0.1432,-0.1174,0.3001,-0.103
29-04-2014,0.3889,0.0208,-0.0306,0.0675,-0.0638,0.1998,-0.0263,-0.106,-0.004,-0.0842
28-04-2014,-0.4955,0.0623,0.0181,0.1292,0.0484,-0.0674,0.1061,-0.1371,-0.4258,0.4533
25-04-2014,-0.3981,-0.067,0.0468,0.0574,0.0773,-0.1312,0.2003,-0.0944,-0.2913,0.2389
24-04-2014,-0.1067,0.0357,0.1318,0.045,0.0002,-0.1987,-0.1024,-0.2144,0.1131,0.0759
23-04-2014,-0.1236,0.025,0.004,0.0079,-0.0122,-0.0744,-0.0762,-0.0629,-0.2475,-0.0074
22-04-2014,-0.2715,-0.0532,0.0601,-0.1372,0.036,0.1532,-0.2129,-0.0094,-0.3682,0.1328
21-04-2014,-0.3042,-0.1581,-0.0595,-0.0225,0.0149,-0.1648,0.0524,0.0585,-0.1601,0.0861
18-04-2014,0.0381,0.0475,-0.1046,0.0169,-0.026,0.0279,0.0578,0.0367,0.0388,-0.12
17-04-2014,0.1477,0.0698,-0.1049,0.0968,-0.0686,-0.2,0.1745,-0.0467,0.004,-0.0243
16-04-2014,-0.0257,0.0589,0.0452,0.0117,-0.0285,0.0459,-0.0739,-0.008,-0.2426,-0.1246
15-04-2014,-0.0788,-0.1381,-0.2185,0.0629,0.0499,-0.1098,0.0881,0.0494,0.0033,-0.1774
14-04-2014,0.0862,-0.1279,0.0372,0.0551,0.0633,0.1352,-0.1706,-0.0505,0.0762,-0.3737
11-04-2014,-0.2515,-0.1224,0.0025,-0.0994,-0.0887,-0.0109,-0.0629,-0.0901,-0.2514,0.0983
10-04-2014,0.0202,0.2231,-0.1209,-0.0598,0.0038,-0.0743,0.2906,-0.1397,-0.0351,0.363
09-04-2014,0.2158,0.0278,-0.0007,0.0054,-0.0532,-0.0294,0.1143,-0.0539,0.5062,-0.2387
08-04-2014,-0.0085,-0.0245,0.1399,0.0298,-0.1209,0.1268,-0.107,-0.17,-0.277,0.2365
04-04-2014,0.1758,-0.067,-0.0117,-0.0344,-0.0346,-0.0405,0.0806,0.0161,0.1135,0.0542
03-04-2014,0.0584,-0.1895,-0.0342,0.0137,-0.1455,0.0172,0.061,-0.0418,0.0007,-0.1777
02-04-2014,-0.2173,0.0947,0.2307,-0.0126,0.0594,0.1068,-0.46,0.022,-0.0732,0.0421
01-04-2014,0.472,0.0006,0.1349,0.0371,-0.0145,-0.1231,0.1243,0.0017,0.2272,-0.1623
31-03-2014,-0.1948,-0.2229,0.22,-0.0293,0.0338,-0.0841,0.1142,-0.1382,-0.1999,0.1245
28-03-2014,-0.5173,-0.1211,-0.0341,-0.0418,0.1445,-0.1719,-0.3401,-0.1152,-0.7314,0.5738
27-03-2014,-0.2949,-0.2387,0.1192,-0.0744,0.1415,-0.0324,-0.2251,0.0627,-0.5609,0.1425
26-03-2014,0.1337,-0.1263,0.0604,0.0888,-0.0812,-0.0542,0.2134,-0.0465,0.2252,-0.1248
25-03-2014,0.3162,-0.0262,-0.0865,-0.027,0.0714,-0.085,-0.0545,-0.1804,-0.0273,0.1353
24-03-2014,-0.0946,0.1601,0.1114,-0.199,0.1156,0.003,-0.3997,0.0612,-0.1582,0.0091
21-03-2014,0.4226,0.2466,0.1868,-0.106,0.0638,0.2183,-0.2905,-0.1101,-0.2384,0.1368
20-03-2014,-0.6125,-0.052,0.0796,0.0516,0.0875,-0.2408,-0.1714,-0.0415,-0.3121,0.0573
19-03-2014,0.0235,0.4331,-0.0685,-0.0949,0.0362,-0.0265,-0.0165,-0.0354,0.0178,-0.4624
18-03-2014,0.1083,0.0537,-0.0552,-0.0456,0.0553,-0.058,0.173,0.0638,0.1645,-0.165
