,pred,true
2014-12-29,0.02264065864,0.021011459741
2014-12-30,0.0226342958838,0.0209324158756
2014-12-31,0.02255336495,0.020909316018
2015-01-05,0.0226353412404,0.0209156237566
2015-01-06,0.0226780669268,0.0209063103572
2015-01-07,0.0226674985072,0.0209021375958
2015-01-08,0.0227274869322,0.0209034938976
2015-01-09,0.022695136002,0.0208996660808
2015-01-12,0.0226480167131,0.0208494836682
2015-01-13,0.0226215552118,0.0207827505008
2015-01-14,0.0226894903,0.0206561626992
2015-01-15,0.0228284883613,0.0205490549211
2015-01-16,0.0227676972486,0.0205881827051
2015-01-19,0.0227041494343,0.0205982029192
2015-01-20,0.0227049436084,0.0205906525661
2015-01-21,0.02264267905,0.02058958187
2015-01-22,0.0225481894153,0.020587463784
2015-01-23,0.0225980786657,0.0205871842728
2015-01-26,0.0226063638168,0.0205918486584
2015-01-27,0.0225394374941,0.0205946997536
2015-01-28,0.0223681793405,0.020654367033
2015-01-29,0.0223275509391,0.0207022443076
2015-01-30,0.02238675559,0.0207208082555
2015-02-02,0.0223679331565,0.020721940116
2015-02-03,0.0223638186548,0.0207227594605
2015-02-04,0.0224510662318,0.0207233654666
2015-02-05,0.022493365117,0.0207957321463
2015-02-06,0.0224298803387,0.0208264912881
2015-02-09,0.0224136625795,0.0208209009707
2015-02-10,0.0223801333887,0.020826211461
2015-02-11,0.0222904023407,0.0208107554489
2015-02-12,0.0222614653323,0.0208133267975
2015-02-13,0.0222869367175,0.0208230416168
2015-02-16,0.0223572545264,0.0208258094919
2015-02-17,0.0223281391324,0.0207931003772
2015-02-25,0.0222510381726,0.0208109495801
2015-02-26,0.0222316735294,0.0208263388086
2015-02-27,0.0221436363361,0.0208554409308
2015-03-02,0.0222188483888,0.0208814444032
2015-03-03,0.0222480848396,0.0209576347983
2015-03-04,0.0222655438782,0.0209725864893
2015-03-05,0.0223308387227,0.0211029698689
2015-03-06,0.0223042143851,0.0211926787892
2015-03-09,0.0222525914172,0.021227478966
2015-03-10,0.0221089791325,0.0212411035938
2015-03-11,0.0221640427049,0.021320313826
2015-03-12,0.0220642653194,0.0213161820202
2015-03-13,0.0219094253191,0.0213806451181
2015-03-16,0.0218682561642,0.0214552569442
2015-03-17,0.0217438474255,0.0214832641982
2015-03-18,0.0216585170184,0.021508978724
2015-03-19,0.0215382394375,0.0215002986053
2015-03-20,0.0215028576014,0.0214909340436
2015-03-23,0.0213745209491,0.021412112772
2015-03-24,0.0210283787977,0.0213987503609
2015-03-25,0.0207698000177,0.0212697536458
2015-03-26,0.020647379393,0.0215256988175
2015-03-27,0.0206950838506,0.0216157322025
2015-03-30,0.0207740533467,0.0216956222983
2015-03-31,0.0206209151134,0.0219876120776
2015-04-01,0.0207918183224,0.0220640803486
2015-04-02,0.0206046991787,0.0221549190123
2015-04-03,0.0205778287249,0.022165052091
2015-04-07,0.0207761850221,0.0221597988309
2015-04-08,0.0207875547775,0.0222570280285
2015-04-09,0.0208429381253,0.0222560764984
2015-04-10,0.0209132365287,0.0222406767686
2015-04-13,0.0206787465595,0.0220204220436
2015-04-14,0.0204482931005,0.0218510756643
2015-04-15,0.0206707656068,0.0219192352393
2015-04-16,0.0205141383032,0.0218954427383
2015-04-17,0.0200979903882,0.0214771272479
2015-04-20,0.0199970352126,0.0222152223979
2015-04-21,0.0199546507783,0.0223107033684
2015-04-22,0.0198947369821,0.022325929444
2015-04-23,0.0196973134294,0.0223380987472
2015-04-24,0.0196446138464,0.0224116524806
2015-04-27,0.0196327674216,0.0223744092333
2015-04-28,0.0195080257649,0.0222783635638
2015-04-29,0.0193816817458,0.0222715366063
2015-04-30,0.0192230895116,0.0222809408015
2015-05-04,0.0185441630183,0.0221096857109
2015-05-05,0.0180712991705,0.0216579170229
2015-05-06,0.0180490249279,0.0215915196925
2015-05-07,0.0178906727256,0.0215975325498
2015-05-08,0.0176232709448,0.0214754098101
2015-05-11,0.0176031558785,0.0211792801115
2015-05-12,0.0172511164363,0.0211412086821
2015-05-13,0.0172427892687,0.0212254262505
2015-05-14,0.0172683844917,0.0213147897385
2015-05-15,0.0172078189601,0.0210342842772
2015-05-18,0.0173025103414,0.0209188969555
2015-05-19,0.0172753559357,0.0209760711096
2015-05-20,0.0172429266242,0.0209645502721
2015-05-21,0.0171082754181,0.0208699526095
2015-05-22,0.0171974399709,0.0208150432567
2015-05-25,0.0163413355828,0.0183960901697
2015-05-26,0.0163244653928,0.0184040619696
2015-05-27,0.016370961188,0.018409953148
2015-05-28,0.0164771156296,0.0185005267466
2015-05-29,0.0163426726119,0.0185413219965
2015-06-01,0.016226743297,0.0185787077371
2015-06-02,0.0164028069185,0.0184989368478
2015-06-03,0.0163906428009,0.0179051761727
2015-06-04,0.0163924300692,0.0175427410842
2015-06-05,0.0163150153248,0.0166442232667
2015-06-08,0.0161588356605,0.0164185795338
2015-06-09,0.0163323274495,0.0149219525841
2015-06-10,0.0165680193931,0.0148019755902
2015-06-11,0.0167394347492,0.0148263178763
2015-06-12,0.0166003964642,0.0148309233778
2015-06-15,0.0167220900624,0.014875521879
2015-06-16,0.0167248935749,0.0148799567911
2015-06-17,0.0167846295341,0.0148858049618
2015-06-18,0.016558568356,0.0148857318852
2015-06-19,0.0163742822438,0.0148573340886
2015-06-23,0.0160742244991,0.0148401710385
2015-06-24,0.0158338893651,0.014694986059
2015-06-25,0.0156360729714,0.0143985276939
2015-06-26,0.0156591689821,0.0144035882431
2015-06-29,0.0156827244569,0.0144036940733
2015-06-30,0.0156053070853,0.0143936674334
